DateTime,AddedIPs,RemovedIPs
1588262521,33,0
1588263122,20,0
1588264382,19,0
1588266121,8,0
1588266721,9,0
1588267321,8,0
1588267922,15,0
1588267981,1,0
1588269121,1,0
1588269722,9,0
1588270321,1,1
1588271522,8,0
1588272122,35,0
1588273321,7,0
1588273922,1,0
1588275181,41,0
1588275722,2,0
1588276321,52,0
1588276921,10,0
1588278121,24,0
1588278721,22,0
1588279322,1,0
1588280521,18,0
1588281121,15,0
1588282321,11,0
1588282921,37,0
1588283521,10,0
1588284122,16,0
1588285322,49,1
1588286521,20,0
1588287121,6,0
1588287721,3,0
1588288921,9,0
1588290122,9,0
1588290721,65,0
1588291321,20,0
1588293721,27,0
1588294321,1,0
1588294921,2,0
1588296121,28,0
1588297321,38,0
1588297922,14,0
1588298521,1,0
1588299121,32,0
1588299721,1,0
1588300381,26,0
1588300922,23,0
1588302122,45,1
1588303321,19,0
1588305122,35,0
1588305721,5,0
1588306921,11,0
1588307582,1,0
1588308121,4,0
1588309321,25,0
1588310522,8,0
1588311721,13,0
1588312922,10,0
1588314121,24,0
1588315322,8,0
1588316521,14,0
1588317722,32,0
1588318381,14,0
1588318921,6,0
1588320121,54,0
1588320721,1,0
1588321921,4,0
1588322521,5,0
1588323721,14,0
1588324922,24,0
1588325521,16,0
1588326121,14,0
1588326721,3,0
1588327321,6,1
1588327921,67,0
1588329121,1,0
1588329182,19,0
1588329721,18,0
1588332121,5,0
1588332721,17,0
1588333922,28,0
1588334521,2,0
1588335121,2,0
1588335721,2,0
1588336606,2150,332
1588336922,14,0
1588338121,68,0
1588339321,22,0
1588340521,38,1
1588342321,8,0
1588343582,24,0
1588344121,19,0
1588344721,1,0
1588345321,5,0
1588346521,5,0
1588347721,16,0
1588348321,8,0
1588348322,3,0
1588348922,50,0
1588349521,4,0
1588350721,9,0
1588351322,23,0
1588351921,16,0
1588352521,21,1
1588353122,2,1
1588353721,37,0
1588354321,14,0
1588354921,20,0
1588355522,7,0
1588356721,10,0
1588357321,42,1
1588358521,8,0
1588359121,54,0
1588359721,10,0
1588360922,8,0
1588361521,6,0
1588361581,5,0
1588362121,3,0
1588363321,22,0
1588364521,2,0
1588365722,52,0
1588367521,1,0
1588368122,7,0
1588368721,9,0
1588369322,2,0
1588369922,32,0
1588370521,3,1
1588371721,22,0
1588373522,57,1
1588374121,25,0
1588375321,12,0
1588376522,59,1
1588377721,2,0
1588378921,4,0
1588380121,8,0
1588380721,1,0
1588381322,39,0
1588381922,16,0
1588383721,8,0
1588384321,1,0
1588384921,3,0
1588385522,3,0
1588386122,58,0
1588387322,8,0
1588387921,14,0
1588388521,19,0
1588389721,6,0
1588390321,26,0
1588390381,1,0
1588390922,10,0
1588392122,51,0
1588392721,24,0
1588394521,30,0
1588395122,5,0
1588395721,21,0
1588396321,7,0
1588397521,4,0
1588397582,17,0
1588398121,15,0
1588399321,32,0
1588399921,2,0
1588400521,48,0
1588401722,15,1
1588402922,7,0
1588403521,8,0
1588404121,56,0
1588405322,3,0
1588406521,4,0
1588407122,3,0
1588408382,4,1
1588408921,15,0
1588409522,15,0
1588411321,7,0
1588411981,1,0
1588412522,3,0
1588413721,24,0
1588414921,6,0
1588415521,15,0
1588416121,11,0
1588416722,35,0
1588417321,24,0
1588418521,16,0
1588419121,7,0
1588419721,1,0
1588420321,1,0
1588420922,41,0
1588421521,15,0
1588423321,11,0
1588423724,2071,315
1588423921,1,0
1588425121,15,0
1588425721,36,0
1588426321,1,0
1588426922,5,0
1588427521,7,0
1588428122,4,0
1588429321,12,0
1588429921,1,0
1588429982,0,1
1588430521,77,0
1588431122,1,0
1588431721,1,0
1588432922,2,0
1588433581,2,0
1588434121,2,0
1588434722,27,0
1588435322,8,0
1588435922,47,0
1588436521,25,0
1588437721,62,0
1588438922,4,0
1588439522,1,0
1588440121,24,0
1588440721,9,0
1588441921,8,0
1588442521,6,0
1588443722,10,0
1588444922,38,0
1588445522,3,0
1588446121,20,0
1588446721,2,0
1588447321,11,0
1588447921,7,0
1588448521,27,0
1588449121,5,0
1588449721,2,0
1588450322,5,0
1588450922,9,0
1588451581,5,0
1588452121,30,0
1588452721,43,0
1588453321,1,0
1588453922,11,0
1588455181,21,0
1588455722,4,0
1588456321,18,0
1588456921,9,0
1588457522,34,0
1588458121,31,0
1588459321,15,0
1588459921,19,0
1588460522,3,0
1588461121,1,0
1588461722,5,0
1588462321,61,0
1588462921,1,0
1588463521,2,0
1588464121,11,0
1588464722,2,0
1588465321,7,0
1588465982,3,0
1588466521,42,0
1588467121,73,0
1588467721,7,0
1588468921,16,0
1588470122,16,0
1588471321,27,0
1588472522,2,0
1588473722,58,0
1588474321,50,0
1588474922,11,0
1588476122,20,0
1588477321,7,0
1588478521,37,0
1588479722,9,0
1588480382,1,0
1588480921,37,0
1588482121,11,0
1588483322,17,0
1588484521,10,0
1588485721,8,0
1588486321,33,0
1588486921,2,0
1588487581,4,0
1588488121,27,1
1588489322,3,0
1588490521,22,0
1588491721,17,0
1588492921,11,0
1588494122,20,0
1588494782,1,0
1588495322,33,0
1588495921,3,0
1588496521,5,0
1588497122,22,0
1588497721,5,0
1588498322,1,0
1588498921,1,0
1588500122,39,0
1588500721,3,0
1588501322,64,0
1588502521,29,0
1588503721,5,0
1588504321,13,0
1588504921,17,0
1588506122,4,0
1588507321,3,0
1588508521,10,0
1588509122,10,0
1588509182,4,0
